"","x","y","z","group","label","date"
"159",15.3960243615288,26.1928571764523,31245108624.8,"Equity","Nikko Listed IDX Fund TOPIX","2017/07"
"160",9.3845098831239,19.2769378199676,15334200000,"Equity","Schwab International Equity ETF","2017/07"
"161",8.61347790295523,17.0079949219344,13207100000,"Equity","iShares Core S&P Total US Stock Market ETF","2017/07"
"162",8.74436455234833,6.63085100481271,16139400000,"Equity","SPDR S&P Dividend ETF","2017/07"
"163",7.50412639435007,7.31404149588182,14105300000,"Equity","iShares Edge MSCI Min Vol USA ETF","2017/07"
"164",12.5438163456835,29.2019240139195,12764816952.1924,"Equity","Tracker Fund of Hong Kong","2017/07"
"165",9.64574572324299,18.7579363577879,7.8401e+10,"Equity","iShares MSCI EAFE ETF","2017/07"
"166",10.4214580184331,13.0085012154612,10414200000,"Equity","iShares Russell Mid-Cap Value ETF","2017/07"
"167",8.01949397614008,10.2550779217926,20507100000,"Equity","Vanguard High Dividend Yield Index Fund;ETF","2017/07"
"168",9.03024992651128,12.4278176945015,35916900000,"Equity","iShares Russell 1000 Value ETF","2017/07"
"169",4.09868466515036,-2.34043611279127,24728600000,"Bond","iShares TIPS Bond ETF","2017/07"
"170",24.2444789977679,9.01836900517205,32094100000,"Equity","Financial Select Sector SPDR Fund","2017/07"
"171",14.7182356699935,26.0773342249672,71368907131.2,"Equity","Nomura TOPIX ETF","2017/07"
"172",9.53168943196762,19.5666515243119,58828400000,"Equity","iShares Core MSCI EAFE ETF","2017/07"
"173",7.8470999154881,11.1906394716876,27168600000,"Equity","Vanguard Dividend Appreciation Index Fund;ETF","2017/07"
"174",7.93124676089289,15.8614591748293,23000046500,"Equity","Vanguard S&P 500 UCITS ETF USD","2017/07"
"175",5.25336137984732,-1.35018132553486,16203200000,"Bond","iShares US Preferred Stock ETF","2017/07"
"176",9.72276783126585,16.0560006969489,18314900000,"Equity","Vanguard Mid-Cap Index Fund;ETF","2017/07"
"177",10.5949252770453,29.1395404691385,19810700000,"Equity","Technology Select Sector SPDR Fund","2017/07"
"178",9.40998231866005,15.6737124854202,13051700000,"Equity","Consumer Discretionary Select Sector SPDR Fund","2017/07"
"179",10.7247278699449,10.4597969377329,15278400000,"Equity","Health Care Select Sector SPDR Fund","2017/07"
"180",12.5641725524533,-4.12275733459039,36770400000,"Commodity","SPDR Gold Shares","2017/07"
"181",1.54511649369879,-0.425744588432952,21010800000,"Bond","Vanguard Short-Term Corporate Bond Idx Fd;ETF","2017/07"
"182",16.2692880153583,25.2331927086683,12111411289.6,"Equity","MUKAM MAXIS Nikkei 225 ETF","2017/07"
"183",11.1758268778973,16.3530016583865,19723400000,"Equity","SPDR S&P MidCap 400 ETF","2017/07"
"184",11.2738581811444,16.2116719411743,44615200000,"Equity","iShares Core S&P Mid-Cap ETF","2017/07"
"185",10.6574584898765,30.3043045167177,60007800000,"Equity","PowerShares QQQ Trust Series 1","2017/07"
"186",15.8913930055968,24.4169919464005,23782136940.8,"Equity","Daiwa ETF Nikkei 225","2017/07"
"187",8.11152739684619,16.8774738849507,12047200000,"Equity","Schwab US Large-Cap ETF","2017/07"
"188",4.91922230288509,-1.00900465740072,32488500000,"Bond","iShares iBoxx $ Inv Grade Corporate Bond ETF","2017/07"
"189",3.31552902018352,-2.31811817357507,55830100000,"Bond","iShares Core US Aggregate Bond ETF","2017/07"
"190",8.91173462903572,13.406106334542,15522900000,"Equity","iShares S&P 500 Value ETF","2017/07"
"191",8.31003123140279,17.8818145092801,11862700000,"Equity","Vanguard Total World Stock Index Fund;ETF","2017/07"
"192",9.58066394466174,18.6973695661184,16369900000,"Equity","Vanguard FTSE Developed Markets ETF","2017/07"
"193",7.15518671159345,19.7529489446641,13488946878.3,"Equity","iShares Core MSCI World UCITS ETF USD (Acc)","2017/07"
"194",8.56804429796466,16.838396992106,128610700000,"Equity","Vanguard Total Stock Market Index Fund;ETF","2017/07"
"195",0.202743961851887,-0.067119099528512,13846900000,"Bond","iShares Short Treasury Bond ETF","2017/07"
"196",8.01466264223782,18.5814633148101,25697807335.93,"Equity","iShares Core S&P 500 UCITS ETF USD (Acc)","2017/07"
"197",14.7304734702266,26.2600443662473,33730501554.4,"Equity","Daiwa ETF TOPIX","2017/07"
"198",12.5516065666687,-3.93626439228036,12179100000,"Commodity","iShares Gold Trust","2017/07"
"199",12.7201311028294,17.5097632433471,10035544647.6285,"Equity","iShares EURO STOXX 50 (DE)","2017/07"
"200",14.013660506297,21.2365268935027,42090700000,"Equity","iShares Russell 2000 ETF","2017/07"
"201",9.3315443991692,8.09980844597038,16733400000,"Equity","iShares Select Dividend ETF","2017/07"
"202",9.82863613843649,14.3152992464912,16929100000,"Equity","iShares Russell Mid-Cap ETF","2017/07"
"203",9.47610796121131,19.0727507781577,126640300000,"Equity","Vanguard Total International Stock Index Fund;ETF","2017/07"
"204",5.29801630010058,0.52680043903548,11443500000,"Bond","iShares JPMorgan USD Emerging Markets Bond ETF","2017/07"
"205",0.802002370950276,-0.803994819584675,12432700000,"Bond","iShares 1-3 Year Treasury Bond ETF","2017/07"
"206",8.11422150831575,16.37197869138,254672400000,"Equity","SPDR S&P 500 ETF Trust","2017/07"
"207",17.1380078692824,-2.24536480808086,18528200000,"Equity","Energy Select Sector SPDR Fund","2017/07"
"208",9.64277072421354,19.1199838130965,23705700000,"Equity","Vanguard FTSE All-World ex US Index Fund;ETF","2017/07"
"209",3.90834737848106,-1.00097455456672,1.8267e+10,"Bond","Vanguard Intermediate-Term Corp Bond Idx Fund;ETF","2017/07"
"210",10.871910803471,16.4848982671888,2.6894e+10,"Equity","Vanguard 500 Index Fund;ETF","2017/07"
"211",14.7626672158206,17.4182805789713,21397700000,"Equity","iShares MSCI Japan ETF","2017/07"
